,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pt,GSM,Kraft,Cardboard,Corrugated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kg,Shipping Cost,,,,,,,,,,
5,Kraft Bakery / Cake Box,10,https://custompackagingpro.com/product/cake-bakery-boxes,12,8,3,24,20,144000,9.29032258064516,3716.12903225807,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,24,20,,,,,,,,,24,20,1000,1000,1000,,25,0.0836129032258065,8.36129032258065,29975,70%,10%,,,,,24,70954,
6,Kraft Sleeve Box,10,https://custompackagingpro.com/product/kraft-sleeve-boxes,8,6,3,19.5,21.5,125775,8.11451612903226,3245.8064516129,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,19.5,21.5,,,,,,,,,19.5,21.5,3773.25,1000,1000,2x,25%,0.0730306451612903,14.6061290322581,47078,50%,10%,,,,,25,72826,
7,"Kraft TUCK End BOX - Reverse Tuck end Box ,Straight Tuck End Box, 1-2-3 lock Bottom Box, Auto Lock Bottom Box, ",10,,3,2,5,11.5,10.5,36225,2.33709677419355,934.838709677419,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,11.5,10.5,,,,,,,,,11.5,10.5,1000,1000,1000,,25,0.0210338709677419,2.10338709677419,14512,50%,10%,,,,,26,71845,
8,Kraft Five Panel Hanger Box,10,,3,1,6,9.5,10,28500,1.83870967741935,735.483870967742,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,9.5,10,,,,,,,,,9.5,10,1000,1000,1000,,25,0.0165483870967742,1.65483870967742,12188,50%,10%,,,,,27,74304,
9,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,76762,
10,Kraft Side Lock Six Corner Box,10,,12,8,2.5,24.5,18.5,135975,8.77258064516129,3509.03225806452,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,24.5,18.5,,,,,,,,,24.5,18.5,1000,1000,1000,,27,0.0789532258064516,7.89532258064516,15569,60%,10%,,,,,29,79220,
11,Kraft Regular Six Corner Box,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,80423,
12,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,82286,
13,Kraft Seal End Auto Bottom Box,10,,3,2,5,11.5,10.5,36225,2.33709677419355,934.838709677419,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,11.5,10.5,,,,,,,,,11.5,10.5,1000,1000,1000,,25,0.0210338709677419,2.10338709677419,21604,50%,10%,,,,,32,84939,
14,Kraft single wall Auto Bottom Tray,10,,6,3,2,19.5,5.75,33637.5,2.17016129032258,868.064516129032,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,19.5,5.75,,,,,,,,,19.5,5.75,1000,1000,1000,,25,0.0195314516129032,1.95314516129032,12188,50%,10%,,,,,33,87594,
15, Kraft Two Piece Box,10,,8,6,3,13.5,21.5,0,0,0,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,13.5,21.5,,,,,,,,,13.5,21.5,2612.25,1000,1000,2x,25%,0,0,119446,50%,10%,,,,,34,90248,
16,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,92903,
17,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,106174,
18,Kraft Ciggeret Box,10,,2.5,1,4,8.5,8,20400,1.31612903225806,526.451612903226,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,8.5,8,,,,,,,,,8.5,8,1000,1000,1000,,25,0.0118451612903226,1.18451612903226,10668,50%,10%,,,,,45,119446,
19,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,132718,
20,Kraft Bookend Box,10,https://www.thecustomboxes.com/bookend/,3,1.5,5,16.5,9.5,47025,3.03387096774194,1213.54838709677,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,16.5,9.5,,,,,,,,,16.5,9.5,1000,1000,1000,,25,0.0273048387096774,2.73048387096774,15569,50%,10%,,,,,55,144142,
21,Kraft Dispenser Box,10,https://www.thecustomboxes.com/perforated-dispenser-box/,4,3,8,18.5,25.5,141525,9.13064516129032,3652.25806451613,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,18.5,25.5,,,,,,,,,18.5,25.5,1000,1000,1000,,25,0.0821758064516129,8.21758064516129,29975,50%,10%,,,,,60,157246,
